gene_family,aryal_gene,aryal_product,current_product,aryal_module_bin,current_module_bin,aryal_consensus_rank_pct_mean,current_candidate_set,current_best_rank,current_consensus_rank_pct_mean,current_fox_status,layer_fox,layer_proteomics_detected,layer_proteomics_directional,three_layer_model_fox_proteomics_directional,hgt_passenger_flag,frac_assemblies_proximal,fisher_p_vs_background,exact_product_match
GF_00996,leuB,3-isopropylmalate dehydrogenase,NAD+ synthase,Other / unassigned,Other / unassigned,0.5244339415382591,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0529,0.75488,False
GF_00266,acpP,acyl carrier protein,photosystem I reaction centre subunit III,Other / unassigned,Housekeeping / lineage marker,0.7855537380561989,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0526,0.7809,False
GF_00240,groL,chaperonin GroEL,photosystem II S4 domain protein,Other / unassigned,Housekeeping / lineage marker,0.6196394562549727,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0526,0.73175,False
GF_01858,,hypothetical protein,preprotein translocase subunit SecY,Stress / membrane / uncharacterized,Other / unassigned,0.6617083036133468,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0526,0.78051,False
GF_01825,dxs,1-deoxy-D-xylulose-5-phosphate synthase,DUF427 domain-containing protein,Other / unassigned,Stress / membrane / uncharacterized,0.6267339501602043,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0519,0.78581,False
GF_00408,ilvC,ketol-acid reductoisomerase,deoxyhypusine synthase,Other / unassigned,Other / unassigned,0.3548405123881947,Model-Supported,115.0,0.293859649122807,Novel/uncertain candidate,False,False,False,False,False,0.0517,0.81146,False
GF_00143,,delta(24)-sterol C-methyltransferase,ketol-acid reductoisomerase,Other / unassigned,Other / unassigned,0.5320907955573574,Model-Supported,267.0,0.3074162679425837,Novel/uncertain candidate,False,True,True,False,False,0.0504,0.79508,False
GF_00450,,RidA family protein,diflavin flavoprotein,Other / unassigned,Other / unassigned,0.4053283626102379,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.05,0.82036,False
GF_00662,,energy-coupling factor ABC transporter ATP-binding protein,RNA-binding transcriptional accessory protein,Transport,Regulation,0.3631702141167062,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0492,0.78039,False
GF_00335,thiC,phosphomethylpyrimidine synthase ThiC,LysR family transcriptional regulator,Other / unassigned,Regulation,0.6801437610327882,Model-Supported,72.0,0.6004784688995215,Novel/uncertain candidate,False,True,True,False,False,0.0491,0.84381,False
GF_01647,,HigA family addiction module antitoxin,ABC transporter ATP-binding protein,Other / unassigned,Transport,0.5414817441040767,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0488,0.82036,False
GF_00668,ycf46,stress-responsive protein Ycf46,DUF4079 domain-containing protein,Other / unassigned,Stress / membrane / uncharacterized,0.4907801506113001,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0476,0.81523,False
GF_00700,,branched-chain amino acid ABC transporter permease,hypothetical protein,Transport,Stress / membrane / uncharacterized,0.3576827686606477,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0469,0.78005,False
GF_00401,,DUF6679 family protein,photosystem I reaction center subunit VIII,Stress / membrane / uncharacterized,Housekeeping / lineage marker,0.77286196681877,Model-Supported,139.0,0.5877192982456141,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0465,0.81999,False
GF_02183,ilvA,"threonine ammonia-lyase, biosynthetic",DEAD/DEAH box helicase,Other / unassigned,Other / unassigned,0.5670642301005404,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0465,0.82726,False
GF_00739,groES,co-chaperone GroES,DUF445 domain-containing protein,Other / unassigned,Stress / membrane / uncharacterized,0.5993422137799321,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0455,0.83508,False
GF_00601,,chlorophyll a/b binding light-harvesting protein,NAD(P)H-quinone oxidoreductase subunit O,Other / unassigned,Other / unassigned,0.7720973638463127,Model-Supported,150.0,0.3189792663476874,Novel/uncertain candidate,False,False,False,False,False,0.0455,0.81981,False
GF_00140,,adenosine deaminase,dihydroorotase,Other / unassigned,Other / unassigned,0.2633644275117589,Highly Pure,,,Novel/uncertain candidate,False,True,True,False,False,0.0449,0.83524,False
GF_00622,,DUF3155 domain-containing protein,amino acid ABC transporter ATP-binding protein,Stress / membrane / uncharacterized,Transport,0.5555601636776373,Model-Supported,5.0,0.8943381180223285,Novel/uncertain candidate,False,False,False,False,False,0.0449,0.87421,False
GF_02136,,sodium:solute symporter family protein,NAD(P)H-quinone oxidoreductase subunit I,Other / unassigned,Other / unassigned,0.6022159794476452,Model-Supported,545.0,0.0996810207336523,Novel/uncertain candidate,False,True,True,False,False,0.0444,0.81964,False
GF_00431,mnmG,tRNA uridine-5-carboxymethylaminomethyl(34) synthesis enzyme MnmG,aspartate ammonia-lyase,Other / unassigned,Other / unassigned,0.396857997846159,Model-Supported,67.0,0.6802232854864434,Novel/uncertain candidate,False,False,False,False,False,0.0437,0.90139,False
GF_00294,,UPF0175 family protein,hypothetical protein,Other / unassigned,Stress / membrane / uncharacterized,0.4795105501965249,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0435,0.81948,False
GF_00336,gap,type I glyceraldehyde-3-phosphate dehydrogenase,DUF2811 domain-containing protein,Other / unassigned,Stress / membrane / uncharacterized,0.2737593251608713,Model-Supported,201.0,0.3484848484848485,Novel/uncertain candidate,False,False,False,False,False,0.043,0.83492,False
GF_01908,atpB,F0F1 ATP synthase subunit A,PfaD family polyunsaturated fatty acid/polyketide biosynthesis protein,Housekeeping / lineage marker,Other / unassigned,0.2991580286519805,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0426,0.81933,False
GF_02104,,photosystem I assembly protein Ycf3,diadenylate cyclase CdaA,Housekeeping / lineage marker,Other / unassigned,0.5138046615615758,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0423,0.85574,False
GF_01813,ndhK,photosynthetic/respiratory NAD(P)H-quinone oxidoreductase subunit K,phosphoglycerate kinase,Respiration & bioenergetics,Other / unassigned,0.4662227752001494,Model-Supported,158.0,0.4094896331738437,Novel/uncertain candidate,False,True,True,False,False,0.042,0.85569,False
GF_00754,,phosphoketolase,50S ribosomal protein L6,Other / unassigned,Housekeeping / lineage marker,0.1839478670473631,Highly Pure,,,Housekeeping marker (not a transplant candidate),False,True,True,False,False,0.0417,0.86248,False
GF_00124,tpiA,triosephosphate isomerase,urease subunit gamma,Other / unassigned,Other / unassigned,0.1870094379948421,Model-Supported,190.0,0.5805422647527911,Novel/uncertain candidate,False,False,False,False,False,0.0417,0.83471,False
GF_00392,ureA,urease subunit gamma,YggT family protein,Other / unassigned,Other / unassigned,0.7048603982155961,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0415,0.90115,False
GF_01600,,DUF433 domain-containing protein,deoxyribose-phosphate aldolase,Stress / membrane / uncharacterized,Carbon metabolism & NAD(P)H supply,0.8168915989313084,Highly Pure,,,Novel/uncertain candidate,False,True,False,False,False,0.0411,0.86201,False
GF_00690,argB,acetylglutamate kinase,histone deacetylase,Other / unassigned,Other / unassigned,0.512550504189955,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0408,0.91142,False
GF_00809,,ferredoxin family protein,endonuclease III,O2 protection & redox homeostasis,Other / unassigned,0.5345105402442915,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0408,0.81905,False
GF_00801,aspS,aspartate--tRNA ligase,adenylate/guanylate cyclase domain-containing protein,Housekeeping / lineage marker,Other / unassigned,0.5171202388212534,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0408,0.83457,False
GF_00001,,hypothetical protein,ACP S-malonyltransferase,Stress / membrane / uncharacterized,Other / unassigned,0.421580430843979,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0404,0.8345,False
GF_01507,gndA,NADP-dependent phosphogluconate dehydrogenase,GTP-binding protein,Carbon metabolism & NAD(P)H supply,Other / unassigned,0.8268238310615186,Highly Pure,,,Novel/uncertain candidate,False,True,True,False,False,0.0404,0.8345,False
GF_01855,,MSMEG_0572/Sll0783 family nitrogen starvation response protein,amidase,Other / unassigned,Other / unassigned,0.6366920534387996,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.04,0.81891,False
GF_00407,,UDP-glucuronic acid decarboxylase family protein,GTP 3'%2C8-cyclase MoaA,Other / unassigned,Other / unassigned,0.6538444698763141,Model-Supported,470.0,0.1473285486443381,Novel/uncertain candidate,False,False,False,False,False,0.0398,0.92128,False
GF_01919,,homospermidine biosynthesis protein,tryptophan--tRNA ligase,Other / unassigned,Housekeeping / lineage marker,0.2880810566758473,Model-Supported,109.0,0.2838915470494417,Housekeeping marker (not a transplant candidate),False,False,False,False,False,0.0395,0.8621,False
GF_02216,,citrate synthase,DUF433 domain-containing protein,Other / unassigned,Stress / membrane / uncharacterized,0.3854013358497035,Model-Supported,66.0,0.7587719298245614,Novel/uncertain candidate,False,False,False,False,False,0.0394,0.8729,False
GF_01236,,cupin domain-containing protein,hypothetical protein,Other / unassigned,Stress / membrane / uncharacterized,0.7082169023684568,Model-Supported,145.0,0.5267145135566188,Novel/uncertain candidate,False,False,False,False,False,0.0392,0.81878,False
GF_01263,glyQ,glycine--tRNA ligase subunit alpha,ATP-dependent DNA helicase,Housekeeping / lineage marker,Other / unassigned,0.4800866120117327,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0388,0.91112,False
GF_01012,,ribose-phosphate pyrophosphokinase,hypothetical protein,Other / unassigned,Stress / membrane / uncharacterized,0.504045020078174,Model-Supported,92.0,0.4593301435406698,Novel/uncertain candidate,False,False,False,False,False,0.0388,0.94379,False
GF_00357,,histidine triad nucleotide-binding protein,hypothetical protein,Other / unassigned,Stress / membrane / uncharacterized,0.2621429818949471,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0385,0.81866,False
GF_01765,pdhA,pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha,type IV pilus twitching motility protein PilT,Other / unassigned,Other / unassigned,0.5868268843647045,Highly Pure,,,Novel/uncertain candidate,False,False,False,False,False,0.0377,0.90081,False
GF_01675,rimO,30S ribosomal protein S12 methylthiotransferase RimO,signal peptide peptidase SppA,Housekeeping / lineage marker,Stress / membrane / uncharacterized,0.330926397012059,Model-Supported,473.0,0.164274322169059,Novel/uncertain candidate,False,False,False,False,False,0.0375,0.90077,False
