gene_family,n_members,n_genomes,n_diazotroph,n_non_diazo,n_genera,frac_diazotroph
GF_00340,220,220,105,115,58,0.4772727272727273
GF_00341,106,106,57,49,29,0.5377358490566038
GF_00342,124,124,28,96,37,0.22580645161290322
GF_00343,257,257,112,145,72,0.4357976653696498
GF_00344,227,227,92,135,56,0.4052863436123348
GF_00345,70,70,66,4,20,0.9428571428571428
GF_00346,92,92,76,16,29,0.8260869565217391
GF_00347,119,118,52,67,41,0.4369747899159664
GF_00348,45,45,7,38,18,0.15555555555555556
GF_00349,285,285,111,174,70,0.3894736842105263
GF_00350,320,320,101,219,69,0.315625
GF_00351,63,63,8,55,12,0.12698412698412698
GF_00352,163,161,85,78,55,0.5214723926380368
GF_00353,221,221,104,117,60,0.47058823529411764
GF_00354,52,52,51,1,13,0.9807692307692307
GF_00355,73,73,65,8,23,0.8904109589041096
GF_00356,74,70,69,5,20,0.9324324324324325
GF_00357,50,50,48,2,14,0.96
GF_00358,127,126,83,44,42,0.6535433070866141
GF_00359,71,71,65,6,23,0.9154929577464789
GF_00360,230,230,99,131,58,0.43043478260869567
GF_00361,73,73,68,5,21,0.9315068493150684
GF_00362,169,159,100,69,46,0.591715976331361
GF_00363,103,103,81,22,40,0.7864077669902912
GF_00364,59,59,48,11,22,0.8135593220338984
GF_00365,91,91,50,41,27,0.5494505494505495
GF_00366,63,63,62,1,16,0.9841269841269841
GF_00367,46,46,46,0,11,1.0
GF_00368,58,58,58,0,15,1.0
GF_00369,96,96,73,23,31,0.7604166666666666
GF_00370,69,69,67,2,19,0.9710144927536232
GF_00371,52,52,52,0,12,1.0
GF_00372,68,68,67,1,17,0.9852941176470589
GF_00373,71,71,68,3,20,0.9577464788732394
GF_00374,57,57,56,1,13,0.9824561403508771
GF_00375,65,65,64,1,16,0.9846153846153847
GF_00376,73,73,70,3,21,0.958904109589041
GF_00377,81,81,75,6,23,0.9259259259259259
GF_00378,76,76,69,7,21,0.9078947368421053
GF_00379,71,71,68,3,20,0.9577464788732394
GF_00380,63,63,61,2,16,0.9682539682539683
GF_00381,79,79,62,17,30,0.7848101265822784
GF_00382,46,46,46,0,9,1.0
GF_00383,68,68,67,1,17,0.9852941176470589
GF_00384,92,92,71,21,28,0.7717391304347826
GF_00385,85,85,71,14,30,0.8352941176470589
GF_00386,144,144,83,61,44,0.5763888888888888
GF_00387,78,78,63,15,33,0.8076923076923077
GF_00388,100,100,66,34,25,0.66
GF_00389,43,43,37,6,18,0.8604651162790697
GF_00390,86,86,73,13,30,0.8488372093023255
GF_00391,78,78,14,64,25,0.1794871794871795
GF_00392,49,49,45,4,13,0.9183673469387755
GF_00393,270,269,112,158,71,0.4148148148148148
GF_00394,61,59,49,12,19,0.8032786885245902
GF_00395,95,95,28,67,25,0.29473684210526313
GF_00396,169,169,81,88,51,0.47928994082840237
GF_00397,43,43,42,1,9,0.9767441860465116
GF_00398,59,59,56,3,17,0.9491525423728814
GF_00399,87,82,80,7,26,0.9195402298850575
GF_00400,171,171,81,90,50,0.47368421052631576
GF_00401,69,69,21,48,25,0.30434782608695654
GF_00402,54,54,45,9,24,0.8333333333333334
GF_00403,69,69,9,60,12,0.13043478260869565
GF_00404,202,202,93,109,51,0.4603960396039604
GF_00405,174,174,92,82,47,0.5287356321839081
GF_00406,95,95,82,13,31,0.8631578947368421
GF_00407,58,58,42,16,21,0.7241379310344828
GF_00408,78,78,68,10,28,0.8717948717948718
GF_00409,124,124,78,46,32,0.6290322580645161
GF_00410,41,41,26,15,18,0.6341463414634146
GF_00411,73,73,67,6,26,0.9178082191780822
